Course code;Course name;Course year;Course semester;Instructor name;Number of credits
IDG1292;Web Coding;2019;Fall;Carlos Vicient Monllao;7
IDG1011;Front-End Web development;2020;Spring;Oivind Kolloen;10
EXPH0100;Examen philosophicum for Humanities and Aesthetics Disciplines;2020;Spring;Ingmar Meland;5
IDG1100;Basic Web Development;2019;Fall;Kjell Are Refsvik;7
IDG1362;Design Thinking;2019;Fall;Kjell Are Refsvik;10
IDG2200;Design and Prototyping for Smart Phone and Tablets;2020;Spring;Sebastian Brage Hansen;7
